Datum;Vrijeme;Emisija;Opis
13.4.2018.;7:00;Pregled hrvatskih liga;
13.4.2018.;7:15;Volvo Ocean Race, sažetak;
13.4.2018.;8:00;Reporter AJB;
13.4.2018.;9:15;Nogomet, HT Prva liga: Cibalia – Inter Z., snimka;
13.4.2018.;11:15;Misija Rusija, nogometni magazin;
13.4.2018.;11:55;Sportske vijesti;
13.4.2018.;12:00;Vijesti AJB;
13.4.2018.;12:45;Istinom do gola, emisija;
13.4.2018.;13:45;Biciklizam Oman, magazin;
13.4.2018.;14:55;Sportske vijesti;
13.4.2018.;15:00;Vijesti AJB;
13.4.2018.;15:55;Sportske vijesti;
13.4.2018.;16:00;Vijesti AJB;
13.4.2018.;17:00;Sport report, emisija;
13.4.2018.;17:30;Motorsport.hr, emisija;
13.4.2018.;18:00;Formula 1, Velika nagrada Bahreina, sažetak;
13.4.2018.;19:05;Misija Rusija, nogometni magazin;
13.4.2018.;20:00;Tada i Sada - BiH AJB;
13.4.2018.;20:30;Evolucija smijeha  AJB;
13.4.2018.;21:00;Tribina AJB;
13.4.2018.;21:30;Motorsport.hr, emisija;
13.4.2018.;21:55;Sportske vijesti;
13.4.2018.;22:00;Vijesti  AJB;
13.4.2018.;23:00;Kladionica HL, sponzorirana emisija (12);
13.4.2018.;23:30;Svijet automoto nautike, magazin;
13.4.2018.;00:00;Dubai Internacional Baja, magazin;
13.4.2018.;00:30;Džudo, Grand Prix Antalya;
13.4.2018.;1:55;Biciklizam Oman, magazin;
13.4.2018.;2:50;Rukomet (M): Švedska – Hrvatska;
13.4.2018.;4:25;Ragbi, PH finale: Mladost – Nada;
13.4.2018.;6:10;Gold Coast Airport Maraton, magazin;
14.4.2018.;7:00;Moj savez, emisija;
14.4.2018.;7:20;Gillette sport, magazin;
14.4.2018.;8:00;Tada i Sada - BiH AJB;
14.4.2018.;8:30;Evolucija smijeha  AJB;
14.4.2018.;9:15;Nogomet, HT Prva liga: Osijek – Slaven B.,  snimka;
14.4.2018.;11:25;Igor Štimac, intervju;
14.4.2018.;11:55; Sportske vijesti;
14.4.2018.;12:00;Vijesti AJB;
14.4.2018.;12:45;Aktivna Hrvatska, emisija;
14.4.2018.;13:30;Gillette sport, magazin;
14.4.2018.;14:00;Kad naš brod plovi, emisija;
14.4.2018.;14:30;Mojih 5;
14.4.2018.;14:55;Sportske vijesti;
14.4.2018.;15:00;Vijesti AJB;
14.4.2018.;15:30;Školska liga, emisija;
14.4.2018.;15:55; Sportske vijesti;
14.4.2018.;16:00;Vijesti AJB;
14.4.2018.;17:00;Rotor, emisija;
14.4.2018.;17:45;Blancpain GT Serij , sažetak;
14.4.2018.;18:15;TV automagazin;
14.4.2018.;18:50;Maraton Pariz, magazin;
14.4.2018.;20:00;Ljudi i moć AJB;
14.4.2018.;20:30;Moj Tunis AJB;
14.4.2018.;21:00;O sportu sportski, emisija;
14.4.2018.;21:30;Blancpain GT Serija;
14.4.2018.;21:55;Sportske vijesti;
14.4.2018.;22:00;Vijesti AJB;
14.4.2018.;23:00;Misija Rusija, nogometni magazin;
14.4.2018.;23:25;O sportu sportski, emisija;
14.4.2018.;0:25;Nogomet, HT Prva liga: Osijek – Slaven B.,  snimka;
14.4.2018.;2:15;Džudo, Grand Prix Antalya;
14.4.2018.;4:10;Karate, Premier liga Rabat;
14.4.2018.;6:15;Biciklizam, Cape Epic;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;